Date,Clicks,Impressions,CTR,Position
2026-06-09,0,0,,
2026-06-10,0,0,,
2026-06-11,0,0,,
2026-06-12,0,1,0%,6
2026-06-13,2,4,50%,2.8
2026-06-14,0,0,,
2026-06-15,0,1,0%,10
2026-06-16,0,3,0%,6.7
2026-06-17,0,0,,
2026-06-18,0,0,,
2026-06-19,0,0,,
2026-06-20,0,1,0%,5
2026-06-21,0,2,0%,6
2026-06-22,0,1,0%,4
2026-06-23,0,1,0%,10
2026-06-24,0,1,0%,1
2026-06-25,0,4,0%,5.5
2026-06-26,0,3,0%,2
2026-06-27,0,3,0%,7.7
2026-06-28,0,2,0%,5
2026-06-29,0,13,0%,6.5
2026-06-30,0,1,0%,4
2026-07-01,0,1,0%,16
2026-07-02,0,0,,
2026-07-03,0,2,0%,3
2026-07-04,0,0,,
